,code,voivodeship,year,sex,age,rate
4875,2400000,ŚLĄSKIE,2014,females,25-54,71.4
4876,2600000,ŚWIĘTOKRZYSKIE,2014,females,25-54,68.4
4877,2800000,WARMIŃSKO-MAZURSKIE,2014,females,25-54,66.3
4878,3000000,WIELKOPOLSKIE,2014,females,25-54,71.0
4879,3200000,ZACHODNIOPOMORSKIE,2014,females,25-54,70.2
4880,200000,DOLNOŚLĄSKIE,2015,females,25-54,74.9
4881,400000,KUJAWSKO-POMORSKIE,2015,females,25-54,71.6
4882,600000,LUBELSKIE,2015,females,25-54,73.4
4883,800000,LUBUSKIE,2015,females,25-54,72.4
4884,1000000,ŁÓDZKIE,2015,females,25-54,75.9
4885,1200000,MAŁOPOLSKIE,2015,females,25-54,69.6
4886,1400000,MAZOWIECKIE,2015,females,25-54,78.8
4887,1600000,OPOLSKIE,2015,females,25-54,73.5
4888,1800000,PODKARPACKIE,2015,females,25-54,63.2
4889,2000000,PODLASKIE,2015,females,25-54,75.2
4890,2200000,POMORSKIE,2015,females,25-54,71.3
4891,2400000,ŚLĄSKIE,2015,females,25-54,71.7
4892,2600000,ŚWIĘTOKRZYSKIE,2015,females,25-54,69.5
4893,2800000,WARMIŃSKO-MAZURSKIE,2015,females,25-54,65.9
4894,3000000,WIELKOPOLSKIE,2015,females,25-54,74.0
4895,3200000,ZACHODNIOPOMORSKIE,2015,females,25-54,71.2
4896,200000,DOLNOŚLĄSKIE,2016,females,25-54,74.5
4897,400000,KUJAWSKO-POMORSKIE,2016,females,25-54,72.0
4898,600000,LUBELSKIE,2016,females,25-54,71.7
4899,800000,LUBUSKIE,2016,females,25-54,74.5
4900,1000000,ŁÓDZKIE,2016,females,25-54,78.4
4901,1200000,MAŁOPOLSKIE,2016,females,25-54,70.9
4902,1400000,MAZOWIECKIE,2016,females,25-54,79.3
4903,1600000,OPOLSKIE,2016,females,25-54,72.5
4904,1800000,PODKARPACKIE,2016,females,25-54,67.5
4905,2000000,PODLASKIE,2016,females,25-54,76.1
4906,2200000,POMORSKIE,2016,females,25-54,73.0
4907,2400000,ŚLĄSKIE,2016,females,25-54,74.5
4908,2600000,ŚWIĘTOKRZYSKIE,2016,females,25-54,71.2
4909,2800000,WARMIŃSKO-MAZURSKIE,2016,females,25-54,67.2
4910,3000000,WIELKOPOLSKIE,2016,females,25-54,73.7
4911,3200000,ZACHODNIOPOMORSKIE,2016,females,25-54,71.9
4912,200000,DOLNOŚLĄSKIE,2017,females,25-54,75.3
4913,400000,KUJAWSKO-POMORSKIE,2017,females,25-54,71.2
4914,600000,LUBELSKIE,2017,females,25-54,73.0
4915,800000,LUBUSKIE,2017,females,25-54,75.4
4916,1000000,ŁÓDZKIE,2017,females,25-54,78.9
4917,1200000,MAŁOPOLSKIE,2017,females,25-54,72.0
4918,1400000,MAZOWIECKIE,2017,females,25-54,79.8
4919,1600000,OPOLSKIE,2017,females,25-54,72.1
4920,1800000,PODKARPACKIE,2017,females,25-54,67.9
4921,2000000,PODLASKIE,2017,females,25-54,77.4
4922,2200000,POMORSKIE,2017,females,25-54,74.3
4923,2400000,ŚLĄSKIE,2017,females,25-54,75.9
4924,2600000,ŚWIĘTOKRZYSKIE,2017,females,25-54,71.5
4925,2800000,WARMIŃSKO-MAZURSKIE,2017,females,25-54,67.7
4926,3000000,WIELKOPOLSKIE,2017,females,25-54,76.0
4927,3200000,ZACHODNIOPOMORSKIE,2017,females,25-54,73.8
4928,200000,DOLNOŚLĄSKIE,2018,females,25-54,77.2
4929,400000,KUJAWSKO-POMORSKIE,2018,females,25-54,73.0
4930,600000,LUBELSKIE,2018,females,25-54,75.3
4931,800000,LUBUSKIE,2018,females,25-54,75.1
4932,1000000,ŁÓDZKIE,2018,females,25-54,80.6
4933,1200000,MAŁOPOLSKIE,2018,females,25-54,72.8
4934,1400000,MAZOWIECKIE,2018,females,25-54,82.1
4935,1600000,OPOLSKIE,2018,females,25-54,75.6
4936,1800000,PODKARPACKIE,2018,females,25-54,67.3
4937,2000000,PODLASKIE,2018,females,25-54,77.6
4938,2200000,POMORSKIE,2018,females,25-54,76.3
4939,2400000,ŚLĄSKIE,2018,females,25-54,77.5
4940,2600000,ŚWIĘTOKRZYSKIE,2018,females,25-54,70.8
4941,2800000,WARMIŃSKO-MAZURSKIE,2018,females,25-54,69.9
4942,3000000,WIELKOPOLSKIE,2018,females,25-54,76.7
4943,3200000,ZACHODNIOPOMORSKIE,2018,females,25-54,73.6
4944,200000,DOLNOŚLĄSKIE,2019,females,25-54,80.9
4945,400000,KUJAWSKO-POMORSKIE,2019,females,25-54,73.4
4946,600000,LUBELSKIE,2019,females,25-54,74.4
4947,800000,LUBUSKIE,2019,females,25-54,76.4
4948,1000000,ŁÓDZKIE,2019,females,25-54,78.9
4949,1200000,MAŁOPOLSKIE,2019,females,25-54,72.8
4950,1400000,MAZOWIECKIE,2019,females,25-54,81.7
4951,1600000,OPOLSKIE,2019,females,25-54,75.5
4952,1800000,PODKARPACKIE,2019,females,25-54,68.6
4953,2000000,PODLASKIE,2019,females,25-54,77.7
4954,2200000,POMORSKIE,2019,females,25-54,77.8
4955,2400000,ŚLĄSKIE,2019,females,25-54,76.9
4956,2600000,ŚWIĘTOKRZYSKIE,2019,females,25-54,72.6
4957,2800000,WARMIŃSKO-MAZURSKIE,2019,females,25-54,68.3
4958,3000000,WIELKOPOLSKIE,2019,females,25-54,76.1
4959,3200000,ZACHODNIOPOMORSKIE,2019,females,25-54,73.9
4960,200000,DOLNOŚLĄSKIE,2020,females,25-54,80.9
4961,400000,KUJAWSKO-POMORSKIE,2020,females,25-54,75.6
4962,600000,LUBELSKIE,2020,females,25-54,74.6
4963,800000,LUBUSKIE,2020,females,25-54,76.9
4964,1000000,ŁÓDZKIE,2020,females,25-54,80.1
4965,1200000,MAŁOPOLSKIE,2020,females,25-54,72.3
4966,1400000,MAZOWIECKIE,2020,females,25-54,80.9
4967,1600000,OPOLSKIE,2020,females,25-54,75.5
4968,1800000,PODKARPACKIE,2020,females,25-54,69.8
4969,2000000,PODLASKIE,2020,females,25-54,77.7
4970,2200000,POMORSKIE,2020,females,25-54,76.1
4971,2400000,ŚLĄSKIE,2020,females,25-54,76.2
4972,2600000,ŚWIĘTOKRZYSKIE,2020,females,25-54,73.8
4973,2800000,WARMIŃSKO-MAZURSKIE,2020,females,25-54,71.2
4974,3000000,WIELKOPOLSKIE,2020,females,25-54,76.7
4975,3200000,ZACHODNIOPOMORSKIE,2020,females,25-54,74.8
4976,200000,DOLNOŚLĄSKIE,2021,females,25-54,82.0
4977,400000,KUJAWSKO-POMORSKIE,2021,females,25-54,77.7
4978,600000,LUBELSKIE,2021,females,25-54,79.0
4979,800000,LUBUSKIE,2021,females,25-54,78.6
4980,1000000,ŁÓDZKIE,2021,females,25-54,80.8
4981,1200000,MAŁOPOLSKIE,2021,females,25-54,78.2
4982,1400000,MAZOWIECKIE,2021,females,25-54,84.3
4983,1600000,OPOLSKIE,2021,females,25-54,80.2
4984,1800000,PODKARPACKIE,2021,females,25-54,70.3
4985,2000000,PODLASKIE,2021,females,25-54,82.0
4986,2200000,POMORSKIE,2021,females,25-54,79.8
4987,2400000,ŚLĄSKIE,2021,females,25-54,79.4
4988,2600000,ŚWIĘTOKRZYSKIE,2021,females,25-54,78.3
4989,2800000,WARMIŃSKO-MAZURSKIE,2021,females,25-54,77.4
4990,3000000,WIELKOPOLSKIE,2021,females,25-54,80.6
4991,3200000,ZACHODNIOPOMORSKIE,2021,females,25-54,79.3
4992,200000,DOLNOŚLĄSKIE,2022,females,25-54,80.8
4993,400000,KUJAWSKO-POMORSKIE,2022,females,25-54,82.2
4994,600000,LUBELSKIE,2022,females,25-54,80.2
4995,800000,LUBUSKIE,2022,females,25-54,79.3
4996,1000000,ŁÓDZKIE,2022,females,25-54,83.9
4997,1200000,MAŁOPOLSKIE,2022,females,25-54,77.3
4998,1400000,MAZOWIECKIE,2022,females,25-54,85.7
4999,1600000,OPOLSKIE,2022,females,25-54,82.0
5000,1800000,PODKARPACKIE,2022,females,25-54,72.4
5001,2000000,PODLASKIE,2022,females,25-54,84.5
5002,2200000,POMORSKIE,2022,females,25-54,82.7
5003,2400000,ŚLĄSKIE,2022,females,25-54,81.1
5004,2600000,ŚWIĘTOKRZYSKIE,2022,females,25-54,80.4
5005,2800000,WARMIŃSKO-MAZURSKIE,2022,females,25-54,77.9
5006,3000000,WIELKOPOLSKIE,2022,females,25-54,82.7
5007,3200000,ZACHODNIOPOMORSKIE,2022,females,25-54,81.6
5008,200000,DOLNOŚLĄSKIE,2023,females,25-54,83.0
5009,400000,KUJAWSKO-POMORSKIE,2023,females,25-54,84.3
5010,600000,LUBELSKIE,2023,females,25-54,81.7
5011,800000,LUBUSKIE,2023,females,25-54,81.4
5012,1000000,ŁÓDZKIE,2023,females,25-54,83.2
5013,1200000,MAŁOPOLSKIE,2023,females,25-54,79.7
5014,1400000,MAZOWIECKIE,2023,females,25-54,86.9
5015,1600000,OPOLSKIE,2023,females,25-54,82.2
5016,1800000,PODKARPACKIE,2023,females,25-54,74.3
5017,2000000,PODLASKIE,2023,females,25-54,84.3
5018,2200000,POMORSKIE,2023,females,25-54,84.6
5019,2400000,ŚLĄSKIE,2023,females,25-54,81.6
5020,2600000,ŚWIĘTOKRZYSKIE,2023,females,25-54,81.2
5021,2800000,WARMIŃSKO-MAZURSKIE,2023,females,25-54,79.3
5022,3000000,WIELKOPOLSKIE,2023,females,25-54,81.3
5023,3200000,ZACHODNIOPOMORSKIE,2023,females,25-54,81.2
5024,200000,DOLNOŚLĄSKIE,2024,females,25-54,83.6
5025,400000,KUJAWSKO-POMORSKIE,2024,females,25-54,81.6
5026,600000,LUBELSKIE,2024,females,25-54,82.3
5027,800000,LUBUSKIE,2024,females,25-54,78.7
5028,1000000,ŁÓDZKIE,2024,females,25-54,81.4
5029,1200000,MAŁOPOLSKIE,2024,females,25-54,81.3
5030,1400000,MAZOWIECKIE,2024,females,25-54,86.8
5031,1600000,OPOLSKIE,2024,females,25-54,83.9
5032,1800000,PODKARPACKIE,2024,females,25-54,75.8
5033,2000000,PODLASKIE,2024,females,25-54,81.9
5034,2200000,POMORSKIE,2024,females,25-54,84.7
5035,2400000,ŚLĄSKIE,2024,females,25-54,81.4
5036,2600000,ŚWIĘTOKRZYSKIE,2024,females,25-54,80.8
5037,2800000,WARMIŃSKO-MAZURSKIE,2024,females,25-54,79.8
5038,3000000,WIELKOPOLSKIE,2024,females,25-54,80.5
5039,3200000,ZACHODNIOPOMORSKIE,2024,females,25-54,81.3
5040,200000,DOLNOŚLĄSKIE,2010,total,55-64,32.2
5041,400000,KUJAWSKO-POMORSKIE,2010,total,55-64,28.7
5042,600000,LUBELSKIE,2010,total,55-64,32.5
5043,800000,LUBUSKIE,2010,total,55-64,29.4
5044,1000000,ŁÓDZKIE,2010,total,55-64,30.6
5045,1200000,MAŁOPOLSKIE,2010,total,55-64,29.6
5046,1400000,MAZOWIECKIE,2010,total,55-64,38.4
5047,1600000,OPOLSKIE,2010,total,55-64,30.3
5048,1800000,PODKARPACKIE,2010,total,55-64,26.2
5049,2000000,PODLASKIE,2010,total,55-64,31.7
5050,2200000,POMORSKIE,2010,total,55-64,37.4
5051,2400000,ŚLĄSKIE,2010,total,55-64,27.3
5052,2600000,ŚWIĘTOKRZYSKIE,2010,total,55-64,30.5
5053,2800000,WARMIŃSKO-MAZURSKIE,2010,total,55-64,30.6
5054,3000000,WIELKOPOLSKIE,2010,total,55-64,31.9
5055,3200000,ZACHODNIOPOMORSKIE,2010,total,55-64,29.8
5056,200000,DOLNOŚLĄSKIE,2011,total,55-64,34.4
5057,400000,KUJAWSKO-POMORSKIE,2011,total,55-64,31.5
5058,600000,LUBELSKIE,2011,total,55-64,33.5
5059,800000,LUBUSKIE,2011,total,55-64,32.7
5060,1000000,ŁÓDZKIE,2011,total,55-64,34.5
5061,1200000,MAŁOPOLSKIE,2011,total,55-64,31.8
5062,1400000,MAZOWIECKIE,2011,total,55-64,43.2
5063,1600000,OPOLSKIE,2011,total,55-64,33.9
5064,1800000,PODKARPACKIE,2011,total,55-64,28.3
5065,2000000,PODLASKIE,2011,total,55-64,36.2
5066,2200000,POMORSKIE,2011,total,55-64,37.0
5067,2400000,ŚLĄSKIE,2011,total,55-64,30.0
5068,2600000,ŚWIĘTOKRZYSKIE,2011,total,55-64,34.0
5069,2800000,WARMIŃSKO-MAZURSKIE,2011,total,55-64,31.6
5070,3000000,WIELKOPOLSKIE,2011,total,55-64,35.5
5071,3200000,ZACHODNIOPOMORSKIE,2011,total,55-64,32.0
5072,200000,DOLNOŚLĄSKIE,2012,total,55-64,37.3
5073,400000,KUJAWSKO-POMORSKIE,2012,total,55-64,34.9
5074,600000,LUBELSKIE,2012,total,55-64,37.1
5075,800000,LUBUSKIE,2012,total,55-64,32.7
5076,1000000,ŁÓDZKIE,2012,total,55-64,37.0
5077,1200000,MAŁOPOLSKIE,2012,total,55-64,32.6
5078,1400000,MAZOWIECKIE,2012,total,55-64,45.0
5079,1600000,OPOLSKIE,2012,total,55-64,37.9
5080,1800000,PODKARPACKIE,2012,total,55-64,30.2
5081,2000000,PODLASKIE,2012,total,55-64,39.6
5082,2200000,POMORSKIE,2012,total,55-64,36.9
5083,2400000,ŚLĄSKIE,2012,total,55-64,30.8
5084,2600000,ŚWIĘTOKRZYSKIE,2012,total,55-64,36.3
5085,2800000,WARMIŃSKO-MAZURSKIE,2012,total,55-64,32.8
5086,3000000,WIELKOPOLSKIE,2012,total,55-64,36.7
5087,3200000,ZACHODNIOPOMORSKIE,2012,total,55-64,35.2
5088,200000,DOLNOŚLĄSKIE,2013,total,55-64,38.7
5089,400000,KUJAWSKO-POMORSKIE,2013,total,55-64,37.6
5090,600000,LUBELSKIE,2013,total,55-64,39.0
5091,800000,LUBUSKIE,2013,total,55-64,36.8
5092,1000000,ŁÓDZKIE,2013,total,55-64,39.6
5093,1200000,MAŁOPOLSKIE,2013,total,55-64,33.3
5094,1400000,MAZOWIECKIE,2013,total,55-64,47.1
5095,1600000,OPOLSKIE,2013,total,55-64,39.1
5096,1800000,PODKARPACKIE,2013,total,55-64,31.7
5097,2000000,PODLASKIE,2013,total,55-64,41.7
5098,2200000,POMORSKIE,2013,total,55-64,39.9
5099,2400000,ŚLĄSKIE,2013,total,55-64,33.5
5100,2600000,ŚWIĘTOKRZYSKIE,2013,total,55-64,35.4
5101,2800000,WARMIŃSKO-MAZURSKIE,2013,total,55-64,35.5
5102,3000000,WIELKOPOLSKIE,2013,total,55-64,38.6
5103,3200000,ZACHODNIOPOMORSKIE,2013,total,55-64,39.2
5104,200000,DOLNOŚLĄSKIE,2014,total,55-64,40.1
5105,400000,KUJAWSKO-POMORSKIE,2014,total,55-64,39.9
5106,600000,LUBELSKIE,2014,total,55-64,40.4
5107,800000,LUBUSKIE,2014,total,55-64,41.0
5108,1000000,ŁÓDZKIE,2014,total,55-64,42.6
5109,1200000,MAŁOPOLSKIE,2014,total,55-64,36.9
5110,1400000,MAZOWIECKIE,2014,total,55-64,49.3
5111,1600000,OPOLSKIE,2014,total,55-64,40.7
5112,1800000,PODKARPACKIE,2014,total,55-64,32.0
5113,2000000,PODLASKIE,2014,total,55-64,45.0
5114,2200000,POMORSKIE,2014,total,55-64,41.4
5115,2400000,ŚLĄSKIE,2014,total,55-64,36.1
5116,2600000,ŚWIĘTOKRZYSKIE,2014,total,55-64,38.4
5117,2800000,WARMIŃSKO-MAZURSKIE,2014,total,55-64,35.4
5118,3000000,WIELKOPOLSKIE,2014,total,55-64,41.1
5119,3200000,ZACHODNIOPOMORSKIE,2014,total,55-64,40.5
5120,200000,DOLNOŚLĄSKIE,2015,total,55-64,43.1
5121,400000,KUJAWSKO-POMORSKIE,2015,total,55-64,41.4
5122,600000,LUBELSKIE,2015,total,55-64,43.6
5123,800000,LUBUSKIE,2015,total,55-64,45.1
5124,1000000,ŁÓDZKIE,2015,total,55-64,43.6
5125,1200000,MAŁOPOLSKIE,2015,total,55-64,38.5
5126,1400000,MAZOWIECKIE,2015,total,55-64,50.6
5127,1600000,OPOLSKIE,2015,total,55-64,42.0
5128,1800000,PODKARPACKIE,2015,total,55-64,32.6
5129,2000000,PODLASKIE,2015,total,55-64,44.8
5130,2200000,POMORSKIE,2015,total,55-64,45.9
5131,2400000,ŚLĄSKIE,2015,total,55-64,37.0
5132,2600000,ŚWIĘTOKRZYSKIE,2015,total,55-64,41.0
5133,2800000,WARMIŃSKO-MAZURSKIE,2015,total,55-64,38.4
5134,3000000,WIELKOPOLSKIE,2015,total,55-64,44.2
5135,3200000,ZACHODNIOPOMORSKIE,2015,total,55-64,41.1
5136,200000,DOLNOŚLĄSKIE,2016,total,55-64,46.5
5137,400000,KUJAWSKO-POMORSKIE,2016,total,55-64,43.5
5138,600000,LUBELSKIE,2016,total,55-64,43.2
5139,800000,LUBUSKIE,2016,total,55-64,47.7
5140,1000000,ŁÓDZKIE,2016,total,55-64,44.2
5141,1200000,MAŁOPOLSKIE,2016,total,55-64,41.6
5142,1400000,MAZOWIECKIE,2016,total,55-64,51.4
5143,1600000,OPOLSKIE,2016,total,55-64,45.6
5144,1800000,PODKARPACKIE,2016,total,55-64,38.7
5145,2000000,PODLASKIE,2016,total,55-64,47.1
5146,2200000,POMORSKIE,2016,total,55-64,48.5
5147,2400000,ŚLĄSKIE,2016,total,55-64,38.6
5148,2600000,ŚWIĘTOKRZYSKIE,2016,total,55-64,43.2
5149,2800000,WARMIŃSKO-MAZURSKIE,2016,total,55-64,41.6
5150,3000000,WIELKOPOLSKIE,2016,total,55-64,47.0
5151,3200000,ZACHODNIOPOMORSKIE,2016,total,55-64,41.7
5152,200000,DOLNOŚLĄSKIE,2017,total,55-64,46.7
5153,400000,KUJAWSKO-POMORSKIE,2017,total,55-64,43.6
5154,600000,LUBELSKIE,2017,total,55-64,45.6
5155,800000,LUBUSKIE,2017,total,55-64,46.6
5156,1000000,ŁÓDZKIE,2017,total,55-64,50.0
5157,1200000,MAŁOPOLSKIE,2017,total,55-64,46.8
5158,1400000,MAZOWIECKIE,2017,total,55-64,52.9
5159,1600000,OPOLSKIE,2017,total,55-64,50.0
5160,1800000,PODKARPACKIE,2017,total,55-64,40.4
5161,2000000,PODLASKIE,2017,total,55-64,48.4
5162,2200000,POMORSKIE,2017,total,55-64,51.3
5163,2400000,ŚLĄSKIE,2017,total,55-64,41.0
5164,2600000,ŚWIĘTOKRZYSKIE,2017,total,55-64,44.7
5165,2800000,WARMIŃSKO-MAZURSKIE,2017,total,55-64,44.7
5166,3000000,WIELKOPOLSKIE,2017,total,55-64,49.4
5167,3200000,ZACHODNIOPOMORSKIE,2017,total,55-64,44.6
5168,200000,DOLNOŚLĄSKIE,2018,total,55-64,48.8
5169,400000,KUJAWSKO-POMORSKIE,2018,total,55-64,47.3
5170,600000,LUBELSKIE,2018,total,55-64,45.0
5171,800000,LUBUSKIE,2018,total,55-64,46.8
5172,1000000,ŁÓDZKIE,2018,total,55-64,50.0
5173,1200000,MAŁOPOLSKIE,2018,total,55-64,45.5
5174,1400000,MAZOWIECKIE,2018,total,55-64,56.3
5175,1600000,OPOLSKIE,2018,total,55-64,51.1
5176,1800000,PODKARPACKIE,2018,total,55-64,41.4
5177,2000000,PODLASKIE,2018,total,55-64,48.0
5178,2200000,POMORSKIE,2018,total,55-64,50.5
5179,2400000,ŚLĄSKIE,2018,total,55-64,40.0
5180,2600000,ŚWIĘTOKRZYSKIE,2018,total,55-64,44.3
5181,2800000,WARMIŃSKO-MAZURSKIE,2018,total,55-64,44.4
5182,3000000,WIELKOPOLSKIE,2018,total,55-64,49.8
5183,3200000,ZACHODNIOPOMORSKIE,2018,total,55-64,48.1
5184,200000,DOLNOŚLĄSKIE,2019,total,55-64,49.6
5185,400000,KUJAWSKO-POMORSKIE,2019,total,55-64,46.2
5186,600000,LUBELSKIE,2019,total,55-64,44.9
5187,800000,LUBUSKIE,2019,total,55-64,49.3
5188,1000000,ŁÓDZKIE,2019,total,55-64,47.9
5189,1200000,MAŁOPOLSKIE,2019,total,55-64,45.0
5190,1400000,MAZOWIECKIE,2019,total,55-64,57.0
5191,1600000,OPOLSKIE,2019,total,55-64,51.5
5192,1800000,PODKARPACKIE,2019,total,55-64,43.4
5193,2000000,PODLASKIE,2019,total,55-64,48.7
5194,2200000,POMORSKIE,2019,total,55-64,53.1
5195,2400000,ŚLĄSKIE,2019,total,55-64,39.5
5196,2600000,ŚWIĘTOKRZYSKIE,2019,total,55-64,47.0
5197,2800000,WARMIŃSKO-MAZURSKIE,2019,total,55-64,49.7
5198,3000000,WIELKOPOLSKIE,2019,total,55-64,50.3
5199,3200000,ZACHODNIOPOMORSKIE,2019,total,55-64,48.7
5200,200000,DOLNOŚLĄSKIE,2020,total,55-64,51.2
5201,400000,KUJAWSKO-POMORSKIE,2020,total,55-64,46.7
5202,600000,LUBELSKIE,2020,total,55-64,49.4
5203,800000,LUBUSKIE,2020,total,55-64,51.5
5204,1000000,ŁÓDZKIE,2020,total,55-64,53.5
5205,1200000,MAŁOPOLSKIE,2020,total,55-64,48.2
5206,1400000,MAZOWIECKIE,2020,total,55-64,59.4
5207,1600000,OPOLSKIE,2020,total,55-64,54.2
5208,1800000,PODKARPACKIE,2020,total,55-64,46.0
5209,2000000,PODLASKIE,2020,total,55-64,51.6
5210,2200000,POMORSKIE,2020,total,55-64,54.8
5211,2400000,ŚLĄSKIE,2020,total,55-64,40.9
5212,2600000,ŚWIĘTOKRZYSKIE,2020,total,55-64,50.9
5213,2800000,WARMIŃSKO-MAZURSKIE,2020,total,55-64,50.3
5214,3000000,WIELKOPOLSKIE,2020,total,55-64,50.0
5215,3200000,ZACHODNIOPOMORSKIE,2020,total,55-64,53.1
5216,200000,DOLNOŚLĄSKIE,2021,total,55-64,54.6
5217,400000,KUJAWSKO-POMORSKIE,2021,total,55-64,53.1
5218,600000,LUBELSKIE,2021,total,55-64,55.2
5219,800000,LUBUSKIE,2021,total,55-64,51.9
5220,1000000,ŁÓDZKIE,2021,total,55-64,55.1
5221,1200000,MAŁOPOLSKIE,2021,total,55-64,51.3
5222,1400000,MAZOWIECKIE,2021,total,55-64,62.5
5223,1600000,OPOLSKIE,2021,total,55-64,59.0
5224,1800000,PODKARPACKIE,2021,total,55-64,48.9
5225,2000000,PODLASKIE,2021,total,55-64,58.8
5226,2200000,POMORSKIE,2021,total,55-64,59.2
5227,2400000,ŚLĄSKIE,2021,total,55-64,47.7
5228,2600000,ŚWIĘTOKRZYSKIE,2021,total,55-64,56.2
5229,2800000,WARMIŃSKO-MAZURSKIE,2021,total,55-64,53.0
5230,3000000,WIELKOPOLSKIE,2021,total,55-64,56.5
5231,3200000,ZACHODNIOPOMORSKIE,2021,total,55-64,55.0
5232,200000,DOLNOŚLĄSKIE,2022,total,55-64,55.3
5233,400000,KUJAWSKO-POMORSKIE,2022,total,55-64,56.0
5234,600000,LUBELSKIE,2022,total,55-64,58.5
5235,800000,LUBUSKIE,2022,total,55-64,55.5
5236,1000000,ŁÓDZKIE,2022,total,55-64,58.3
5237,1200000,MAŁOPOLSKIE,2022,total,55-64,52.0
5238,1400000,MAZOWIECKIE,2022,total,55-64,64.9
5239,1600000,OPOLSKIE,2022,total,55-64,56.6
5240,1800000,PODKARPACKIE,2022,total,55-64,50.4
5241,2000000,PODLASKIE,2022,total,55-64,59.2
5242,2200000,POMORSKIE,2022,total,55-64,62.6
5243,2400000,ŚLĄSKIE,2022,total,55-64,47.7
5244,2600000,ŚWIĘTOKRZYSKIE,2022,total,55-64,59.5
5245,2800000,WARMIŃSKO-MAZURSKIE,2022,total,55-64,56.2
5246,3000000,WIELKOPOLSKIE,2022,total,55-64,58.3
5247,3200000,ZACHODNIOPOMORSKIE,2022,total,55-64,55.6
5248,200000,DOLNOŚLĄSKIE,2023,total,55-64,57.8
5249,400000,KUJAWSKO-POMORSKIE,2023,total,55-64,57.3
5250,600000,LUBELSKIE,2023,total,55-64,58.6
5251,800000,LUBUSKIE,2023,total,55-64,60.0
5252,1000000,ŁÓDZKIE,2023,total,55-64,58.0
5253,1200000,MAŁOPOLSKIE,2023,total,55-64,54.4
5254,1400000,MAZOWIECKIE,2023,total,55-64,66.7
5255,1600000,OPOLSKIE,2023,total,55-64,56.2
5256,1800000,PODKARPACKIE,2023,total,55-64,53.1
5257,2000000,PODLASKIE,2023,total,55-64,64.1
5258,2200000,POMORSKIE,2023,total,55-64,60.6
5259,2400000,ŚLĄSKIE,2023,total,55-64,49.6
5260,2600000,ŚWIĘTOKRZYSKIE,2023,total,55-64,61.4
5261,2800000,WARMIŃSKO-MAZURSKIE,2023,total,55-64,56.0
5262,3000000,WIELKOPOLSKIE,2023,total,55-64,60.8
5263,3200000,ZACHODNIOPOMORSKIE,2023,total,55-64,54.8
5264,200000,DOLNOŚLĄSKIE,2024,total,55-64,57.6
5265,400000,KUJAWSKO-POMORSKIE,2024,total,55-64,60.0
5266,600000,LUBELSKIE,2024,total,55-64,59.9
5267,800000,LUBUSKIE,2024,total,55-64,60.7
5268,1000000,ŁÓDZKIE,2024,total,55-64,60.3
5269,1200000,MAŁOPOLSKIE,2024,total,55-64,55.6
5270,1400000,MAZOWIECKIE,2024,total,55-64,67.0
5271,1600000,OPOLSKIE,2024,total,55-64,56.0
5272,1800000,PODKARPACKIE,2024,total,55-64,54.2
5273,2000000,PODLASKIE,2024,total,55-64,63.2
5274,2200000,POMORSKIE,2024,total,55-64,60.7
5275,2400000,ŚLĄSKIE,2024,total,55-64,51.0
5276,2600000,ŚWIĘTOKRZYSKIE,2024,total,55-64,60.7
5277,2800000,WARMIŃSKO-MAZURSKIE,2024,total,55-64,54.5
5278,3000000,WIELKOPOLSKIE,2024,total,55-64,62.8
5279,3200000,ZACHODNIOPOMORSKIE,2024,total,55-64,57.3
5280,200000,DOLNOŚLĄSKIE,2010,males,55-64,42.1
5281,400000,KUJAWSKO-POMORSKIE,2010,males,55-64,39.7
5282,600000,LUBELSKIE,2010,males,55-64,42.3
5283,800000,LUBUSKIE,2010,males,55-64,38.8
5284,1000000,ŁÓDZKIE,2010,males,55-64,44.0
5285,1200000,MAŁOPOLSKIE,2010,males,55-64,39.1
5286,1400000,MAZOWIECKIE,2010,males,55-64,49.8
5287,1600000,OPOLSKIE,2010,males,55-64,45.6
5288,1800000,PODKARPACKIE,2010,males,55-64,33.6
5289,2000000,PODLASKIE,2010,males,55-64,40.0
5290,2200000,POMORSKIE,2010,males,55-64,49.6
5291,2400000,ŚLĄSKIE,2010,males,55-64,38.4
5292,2600000,ŚWIĘTOKRZYSKIE,2010,males,55-64,38.9
5293,2800000,WARMIŃSKO-MAZURSKIE,2010,males,55-64,40.4
5294,3000000,WIELKOPOLSKIE,2010,males,55-64,43.5
5295,3200000,ZACHODNIOPOMORSKIE,2010,males,55-64,39.8
5296,200000,DOLNOŚLĄSKIE,2011,males,55-64,43.8
5297,400000,KUJAWSKO-POMORSKIE,2011,males,55-64,42.9
5298,600000,LUBELSKIE,2011,males,55-64,43.5
5299,800000,LUBUSKIE,2011,males,55-64,41.8
5300,1000000,ŁÓDZKIE,2011,males,55-64,46.8
5301,1200000,MAŁOPOLSKIE,2011,males,55-64,41.6
5302,1400000,MAZOWIECKIE,2011,males,55-64,55.0
5303,1600000,OPOLSKIE,2011,males,55-64,48.3
5304,1800000,PODKARPACKIE,2011,males,55-64,37.3
5305,2000000,PODLASKIE,2011,males,55-64,44.9
5306,2200000,POMORSKIE,2011,males,55-64,48.1
5307,2400000,ŚLĄSKIE,2011,males,55-64,40.1
5308,2600000,ŚWIĘTOKRZYSKIE,2011,males,55-64,42.3
